"site","id","date","WAT20"
"MUDS2","103",2012-03-09,0
"MUDS2","103",2012-03-10,0
"MUDS2","103",2012-03-11,0
"MUDS2","103",2012-03-12,0
"MUDS2","103",2012-03-13,0
"MUDS2","103",2012-03-14,0
"MUDS2","103",2012-03-15,0
"MUDS2","103",2012-03-16,0
"MUDS2","103",2012-03-17,0
"MUDS2","103",2012-03-18,0
"MUDS2","103",2012-03-19,0
"MUDS2","103",2012-03-20,0
"MUDS2","103",2012-03-21,0
"MUDS2","103",2012-03-22,0
"MUDS2","103",2012-03-23,0
"MUDS2","103",2012-03-24,0
"MUDS2","103",2012-03-25,0
"MUDS2","103",2012-03-26,0
"MUDS2","103",2012-03-27,0
"MUDS2","103",2012-03-28,0
"MUDS2","103",2012-03-29,0
"MUDS2","103",2012-03-30,0.047
"MUDS2","103",2012-03-31,0.041
"MUDS2","103",2012-04-01,0.014
"MUDS2","103",2012-04-02,0.034
"MUDS2","103",2012-04-03,0.016
"MUDS2","103",2012-04-04,0
"MUDS2","103",2012-04-05,0.004
"MUDS2","103",2012-04-06,0.049
"MUDS2","103",2012-04-07,0.03
"MUDS2","103",2012-04-08,0.024
"MUDS2","103",2012-04-09,0.02
"MUDS2","103",2012-04-10,0
"MUDS2","103",2012-04-11,0
"MUDS2","103",2012-04-12,0
"MUDS2","103",2012-04-13,0
"MUDS2","103",2012-04-14,0.108
"MUDS2","103",2012-04-15,0.133
"MUDS2","103",2012-04-16,0.287
"MUDS2","103",2012-04-17,0.025
"MUDS2","103",2012-04-18,1.166
"MUDS2","103",2012-04-19,0.946
"MUDS2","103",2012-04-20,0.204
"MUDS2","103",2012-04-21,0.16
"MUDS2","103",2012-04-22,0
"MUDS2","103",2012-04-23,0
"MUDS2","103",2012-04-24,0
"MUDS2","103",2012-04-25,0
"MUDS2","103",2012-04-26,0
"MUDS2","103",2012-04-27,0
"MUDS2","103",2012-04-28,0
"MUDS2","103",2012-04-29,0
"MUDS2","103",2012-04-30,0.705
"MUDS2","103",2012-05-01,0.422
"MUDS2","103",2012-05-02,0.388
"MUDS2","103",2012-05-03,0.234
"MUDS2","103",2012-05-04,0.259
"MUDS2","103",2012-05-05,0.451
"MUDS2","103",2012-05-06,0.412
"MUDS2","103",2012-05-07,0.352
"MUDS2","103",2012-05-08,0.356
"MUDS2","103",2012-05-09,0.244
"MUDS2","103",2012-05-10,0.21
"MUDS2","103",2012-05-11,0.187
"MUDS2","103",2012-05-12,0.209
"MUDS2","103",2012-05-13,0.208
"MUDS2","103",2012-05-14,0.359
"MUDS2","103",2012-05-15,0.586
"MUDS2","103",2012-05-16,0.425
"MUDS2","103",2012-05-17,0.22
"MUDS2","103",2012-05-18,0.397
